name,ascents,grade,popularity,popularity_std,elo,elo_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
Slopie Joe,244,7A+,4.3438,0.4072,-0.3149,0.1702,20.965,20.398,21.532,7B+,-1.965
Kalorienmonster,317,7C,5.7062,0.4499,0.0708,0.1411,21.620,21.150,22.091,7C,+0.380
James Bong,746,7A+,4.8256,0.2040,-1.6523,0.0863,18.691,18.403,18.979,7A+,+0.309
Rebirth,3,7C+,0.0530,0.7921,3.5494,0.5869,27.534,25.578,29.490,8C,-4.534
Chiquita,676,7A,4.1574,0.2053,-2.2485,0.0914,17.678,17.373,17.982,7A,+0.322
Bingo Bongo,79,7B,0.9722,0.2934,-0.3894,0.2827,20.838,19.896,21.780,7B+,-0.838
Traumfänger,249,6C,1.4508,0.1806,-3.5522,0.1756,15.461,14.876,16.046,6B+,+0.539
King Kong,756,7A+,4.7866,0.2415,-1.6442,0.0946,18.705,18.390,19.020,7A+,+0.295
The arete,8,8A+,6.4923,1.5195,5.1969,0.5093,30.335,28.638,32.032,30.334768009501882,-5.335
Ade Bus,63,7B,0.1167,0.2110,-2.7880,0.3375,16.760,15.636,17.885,6C+,+3.240
Waldbrand,106,7C,3.4892,0.3547,1.2799,0.1954,23.676,23.025,24.327,8A,-1.676
Spaceball,11,7A+,0.2817,0.5420,1.7386,0.4619,24.456,22.917,25.995,8A,-5.456
Punching tree,116,7A,0.8312,0.2080,-3.6962,0.2156,15.216,14.498,15.935,6B+,+2.784
Big Dick,17,7A,1.3397,0.5540,2.4530,0.4209,25.670,24.268,27.072,8B,-7.670
New Base Line,71,8B+,8.7805,1.2377,3.0599,0.2356,26.702,25.917,27.487,8B+,+0.298
Man of a cow,396,7C,6.1965,0.4733,-0.0484,0.1324,21.418,20.977,21.859,7B+,+0.582
Valentins Day,624,7A+,4.9823,0.3058,-0.9484,0.1252,19.888,19.471,20.305,7B,-0.888
Dopeshow,95,7B+,2.2806,0.3584,-0.2879,0.2559,21.011,20.158,21.863,7B+,-0.011
Fightclub,392,7C,7.1511,0.7023,0.6507,0.1168,22.606,22.217,22.995,7C+,-0.606
No Liberty,98,8A,5.7002,0.6218,1.8528,0.1971,24.650,23.993,25.307,8A+,-0.650
High Spirit,49,8A,8.6322,1.1152,3.0232,0.2961,26.639,25.653,27.626,8B+,-2.639
Voigas,181,8A+,9.3094,1.1087,2.0401,0.1961,24.968,24.315,25.621,8A+,+0.032
Zilliman,701,7A,3.8099,0.2000,-2.6399,0.0940,17.012,16.699,17.325,6C+,+0.988
Stirb Langsam,143,7B,1.7667,0.1981,-1.7292,0.2456,18.560,17.742,19.379,7A+,+1.440
Freiflug,73,7A+,0.5373,0.2418,-2.8638,0.3577,16.631,15.440,17.823,6C+,+2.369
Somewhere in between,5,8B,5.3733,1.5713,5.3015,0.4473,30.513,29.022,32.003,30.512577364573964,-4.513
Fliegen erlaubt,168,7A+,2.1179,0.2116,-1.8945,0.1934,18.279,17.635,18.924,7A,+0.721
Son of a gun,167,7C,5.4898,0.5704,1.1698,0.1610,23.489,22.952,24.025,7C+,-1.489
Devils and Dust,2,7C,2.6653,1.7561,5.7328,0.6328,31.246,29.137,33.354,31.245734399684547,-9.246
Guardian of the forest,5,8A,2.8940,1.3166,4.5721,0.5475,29.273,27.448,31.097,8C+,-5.273
Stairway to heaven,34,8A,5.9089,1.0452,3.4425,0.3029,27.352,26.343,28.362,8B+,-3.352
