name,ascents,grade,popularity,elo,elo_std,pop_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
Es ist aus!,1,6B,-4.4454,-0.1913,0.0000,0.0000,16.407,16.407,16.407,6C,-2.407
Linsenboulder low,8,7A+,0.4890,-0.3211,0.0000,0.0000,17.796,17.796,17.796,7A,+1.204
Contro tendenza,14,7C+,4.0391,2.8562,0.0000,0.0000,20.978,20.978,20.978,7B+,+2.022
Spinosa,1,6C+,-5.0558,7.8497,0.0000,0.0000,21.590,21.590,21.590,7C,-4.590
"Work hard, play hard",1,5B,-10.2446,-3.5044,0.0000,0.0000,12.462,12.462,12.462,6A,-2.462
L'arquette,9,6A,-2.2739,-3.9919,0.0000,0.0000,14.521,14.521,14.521,6B+,-2.521
Space Shanty,2,7B,-2.3102,1.3073,0.0000,0.0000,18.046,18.046,18.046,7A,+1.954
Should I stay or should I go,3,7A,-0.4804,-2.1240,0.0000,0.0000,16.303,16.303,16.303,6C,+1.697
Andante allegro,27,6A,0.7818,-6.9110,0.0000,0.0000,13.487,13.487,13.487,6A+,-1.487
Tona,1,7C,-0.5431,3.3363,0.0000,0.0000,19.928,19.928,19.928,7B,+2.072
N.N. 2 (Masso 2),2,6B,-2.4303,0.2986,0.0000,0.0000,17.337,17.337,17.337,6C+,-3.337
Won Fippo,6,6B,-0.1816,-1.0723,0.0000,0.0000,17.095,17.095,17.095,6C+,-3.095
French problem,8,7B+,1.8982,-1.5142,0.0000,0.0000,17.422,17.422,17.422,6C+,+3.578
Yeaaa,14,7A,0.7055,-2.2746,0.0000,0.0000,16.558,16.558,16.558,6C+,+1.442
N.N. 1 (Block 22),2,5A,-2.1521,-6.3150,0.0000,0.0000,13.007,13.007,13.007,6A+,-4.007
Zivali,17,6A,-0.2227,-4.1229,0.0000,0.0000,15.047,15.047,15.047,6B+,-3.047
Golden Power,41,7C+,11.6160,0.8164,0.0000,0.0000,21.883,21.883,21.883,7C,+1.117
The Ghost Of The River,1,7A,-2.7416,0.4688,0.0000,0.0000,17.357,17.357,17.357,6C+,+0.643
John Rambo,18,7C+,4.6955,-0.2250,0.0000,0.0000,19.119,19.119,19.119,7A+,+3.881
Adi Hustler,2,7C,0.0157,3.8145,0.0000,0.0000,20.414,20.414,20.414,7B,+1.586
Panda Dub,7,7C+,0.0960,2.1157,0.0000,0.0000,19.305,19.305,19.305,7A+,+3.695
Alizee ha fatto la cacca,1,6B+,-2.6665,0.3104,0.0000,0.0000,17.274,17.274,17.274,6C+,-2.274
Stromfresser,1,7C+,-2.4737,2.9031,0.0000,0.0000,19.061,19.061,19.061,7A+,+3.939
Lowrider,2,8B,-0.0318,4.2309,0.0000,0.0000,20.678,20.678,20.678,7B+,+5.322
Gedämpfte Vorfreude,12,6A,-0.5923,-7.4446,0.0000,0.0000,12.720,12.720,12.720,6A+,-0.720
Puritiy SD from 4,3,7A,-1.1826,-0.8499,0.0000,0.0000,16.943,16.943,16.943,6C+,+1.057
Aufwärmen statt abwerten,1,6B,-4.4191,-0.1906,0.0000,0.0000,16.415,16.415,16.415,6C,-2.415
Nähmaschinen-Tango,22,6B,0.4485,-3.7924,0.0000,0.0000,15.468,15.468,15.468,6B+,-1.468
Käsescheibe,5,5C,-3.3087,-6.5077,0.0000,0.0000,12.532,12.532,12.532,6A+,-1.532
Im Fluss,4,7A,0.2760,0.5212,0.0000,0.0000,18.295,18.295,18.295,7A,-0.295
Mind extension,5,7B,1.3487,-1.1182,0.0000,0.0000,17.522,17.522,17.522,7A,+2.478
...(x-large tömb),1,7B,-3.8542,-3.4528,0.0000,0.0000,14.408,14.408,14.408,6B,+5.592
calanda brau sd,1,7A,-3.9507,2.7251,0.0000,0.0000,18.501,18.501,18.501,7A+,-0.501
Supersupernova in space,4,8A,1.8567,3.6114,0.0000,0.0000,20.829,20.829,20.829,7B+,+3.171
Goodmorningcorner,17,5C,0.1526,-5.4893,0.0000,0.0000,14.247,14.247,14.247,6B,-3.247
Produkt der Anwesenheit,4,6B,-2.8535,-5.1389,0.0000,0.0000,13.582,13.582,13.582,6B,+0.418
Bizepschüsler,1,5B,-9.0894,-9.4742,0.0000,0.0000,8.824,8.824,8.824,5A,+1.176
Wädlistrecker,1,5B,-9.1150,-9.2985,0.0000,0.0000,8.934,8.934,8.934,5A,+1.066
Fahrschüler in der Rush Hour,1,5B,-9.0800,-9.5390,0.0000,0.0000,8.784,8.784,8.784,5A,+1.216
Wallflower,1,4C,-3.5159,-8.9425,0.0000,0.0000,10.846,10.846,10.846,5C,-2.846
Miss Piggy,4,3A,-3.3059,-8.4815,0.0000,0.0000,11.216,11.216,11.216,5C,-8.216
Putzfrau,13,6B+,-0.1637,-4.6319,0.0000,0.0000,14.725,14.725,14.725,6B+,+0.275
Mini Cooper,1,5C,-10.2395,-3.5111,0.0000,0.0000,12.459,12.459,12.459,6A,-1.459
Killer behind you,5,7A+,-0.1013,1.1001,0.0000,0.0000,18.568,18.568,18.568,7A+,+0.432
Highway to hell,4,8A,3.0535,4.2134,0.0000,0.0000,21.589,21.589,21.589,7C,+2.411
Osmoose,4,5B,-1.5366,-7.1691,0.0000,0.0000,12.621,12.621,12.621,6A+,-2.621
